# Created with esearch -db bioproject -query PRJDB4176 | elink -target biosample \
# | efetch -mode xml
# | xtract -pattern BioSample -block "Ids/Id" -if "Id@db" -equals "BioSample" -element "Id" \
#                             -block 'Attributes/Attribute' \
#                             -if "Attribute@attribute_name" -equals "host_disease_stat" \
#                              -element "Attribute"
sample_accession	Subject_ID	disease_status
SAMD00164746	10376	
SAMD00164745	10367	
SAMD00164744	10365	
SAMD00164734	10316	
SAMD00164729	10298	
SAMD00164728	10296	
SAMD00164727	10272	
SAMD00164723	10239	
SAMD00164721	10237	
SAMD00164717	10210	
SAMD00164713	10194	
SAMD00164708	10170	
SAMD00164696	10030.1	
SAMD00164695	10030	
SAMD00164694	00001	
SAMD00115090	10646.1	
SAMD00115089	10099.1	
SAMD00115088	10103.1	
SAMD00115087	10532.1	
SAMD00115086	10260.1	
SAMD00115085	10303.1	
SAMD00115084	10307.1	
SAMD00115083	10118.1	
SAMD00115082	10091.1	
SAMD00115081	10505.1	
SAMD00115080	10308.1	
SAMD00115079	10185.1	
SAMD00115078	10267.1	
SAMD00115077	10323.1	
SAMD00115076	10333.1	
SAMD00115075	10745.1	
SAMD00115074	10717.1	
SAMD00115073	10097.1	
SAMD00115072	10067.1	
SAMD00115071	10480.1	
SAMD00115070	10462.1	
SAMD00115069	10199.1	
SAMD00115068	10126.1	
SAMD00115067	10147.1	
SAMD00115066	10236.1	
SAMD00115065	10096	
SAMD00115064	10066	
SAMD00115063	10084	
SAMD00115062	10078	
SAMD00115061	10077	
SAMD00115060	10076	
SAMD00115059	10374	
SAMD00115058	10313	
SAMD00115057	10329	
SAMD00115056	10312	
SAMD00115055	10290	
SAMD00115054	10286	
SAMD00115053	10285	
SAMD00115052	10283	
SAMD00115051	10282	
SAMD00115050	10281	
SAMD00115049	10280	
SAMD00115048	10275	
SAMD00115047	10256	
SAMD00115046	10255	
SAMD00115045	10252	
SAMD00115044	10268	
SAMD00115043	10233	
SAMD00115042	10230	
SAMD00115041	10241	
SAMD00115040	10220	
SAMD00115039	10034	
SAMD00115038	10368	
SAMD00115037	10120	
SAMD00115036	10115	
SAMD00115034	10097	
SAMD00115033	10107	
SAMD00115032	10092	
SAMD00115031	10091	
SAMD00115030	10081	
SAMD00115029	10067	
SAMD00115028	10074	
SAMD00115027	10029	
SAMD00115026	10073	
SAMD00115025	10025	
SAMD00115024	10061	
SAMD00115021	10047	
SAMD00115019	10046	
SAMD00115018	10058	
SAMD00115017	10040	
SAMD00115016	10038	
SAMD00115015	10023	
SAMD00115014	10021	
SAMD00115012	10378	
